
Available Providers (1355)
-------------------------------------------------------------------
{E2EB5B52-08B1-4391-B670-F58317376247}	WLAN Extensibility Trace
{AFF081FE-0247-4275-9C4E-021F3DC1DA35}	ASP.NET Events
{D3DE60B2-A663-45D5-9826-A0A5949D2CB0}	MUI Resource Trace
{649E3596-2620-4D58-A01F-17AEFE8185DB}	FD Publication Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E97}	IMAPI2 Media Eraser
{13CD7F92-5BAA-8C7C-3D72-B69FAC139A46}	MSADDS.1
{480217A9-F824-4BD4-BBE8-F371CAAF9A0D}	FD Core Trace
{F34765F6-A1BE-4B9D-1400-B8A12921F704}	ODBC.1
{7311AD03-18D6-45AC-9B08-B020BDD6A590}	PNPX AssocDB Trace
{DAB01D4D-2D48-477D-B1C3-DAAD0CE6F06B}	ACPI Driver Trace Provider
{C127C1A8-6CEB-11DA-8BDE-F66BAD1E3F3A}	TS Rdp Init Trace
{64A552E0-6C60-B907-E59C-10F1DFF76B0D}	MSDAPRST.1
{4B6EFB94-30EA-49A7-BB29-E9ED9DCE67DA}	WPD Bluetooth MTP Emumerator Driver Trace
{0E85A5A5-4D5C-44B7-8BDA-5B7AB54F7E9C}	IMAPI2 Pseudo-Random Stream
{101C0E21-EBBA-A60A-EC3D-58797788928A}	MSADCF.1
{0063715B-EEDA-4007-9429-AD526F62696E}	Microsoft-Windows-Services
{00683C4E-2B4A-351D-26A6-E40FBC58E17C}	Microsoft-Windows-WwanProtDim_00683c4e2b4a351d26a6e40fbc58e17c
{0075E1AB-E1D1-5D1F-35F5-DA36FB4F41B1}	Microsoft-Windows-Network-ExecutionContext
{00B7E1DF-B469-4C69-9C41-53A6576E3DAD}	Microsoft-Windows-Security-IdentityStore
{010514B4-5D3E-3B0C-763D-08735EDA9F35}	Microsoft-Windows-NtfsLog_010514b45d3e3b0c763d08735eda9f35
{01090065-B467-4503-9B28-533766761087}	Microsoft-Windows-ParentalControls
{01578F96-C270-4602-ADE0-578D9C29FC0C}	Microsoft-Windows-VAN
{017247F2-7E96-11DC-8314-0800200C9A66}	Microsoft-Windows-ErrorReportingConsole
{017BA13C-9A55-4F1F-8200-323055AAC810}	Microsoft-Windows-Registry-SQM-Provider
{01979C6A-42FA-414C-B8AA-EEE2C8202018}	Microsoft-Windows-WindowsBackup
{02012A8A-ADF5-4FAB-92CB-CCB7BB3E689A}	Microsoft-Windows-ShareMedia-ControlPanel
{0223F0A3-6383-5A7A-7BC7-04D4739E2E32}	Microsoft-Windows-Containers-Wcifs-Mapping
{029ACCF6-7EC4-3CE1-6669-E34234BDEB05}	Microsoft-Windows-NtfsLog_029accf67ec43ce16669e34234bdeb05
{030F2F57-ABD0-4427-BCF1-3A3587D7DC7D}	Microsoft-Windows-Diagnostics-PerfTrack
{04268430-D489-424D-B914-0CFF741D6684}	Microsoft-Windows-Bluetooth-MTPEnum
{044A9015-D96C-5DD1-0199-72D258325298}	Microsoft-Windows-Dwm-Compositor
{04D66358-C4A1-419B-8023-23B73902DE2C}	Microsoft-Windows-PDH
{04ECCF8E-8490-4AD1-8ED5-0AE7750E69E6}	Microsoft-Windows-MCCS-AccountsHost
{05921578-2261-42C7-A0D3-26DDBCE6C50D}	Microsoft-Windows-Diagnosis-WDC
{059C3E04-5535-4929-85E1-93030E78F47B}	Microsoft-Windows-Shsvcs
{059F0F37-910E-4FF0-A7EE-AE8D49DD319B}	Microsoft-Windows-ReFS-v1
{05D7B0F0-2121-4EFF-BF6B-ED3F69B894D7}	Microsoft-Windows-TaskbarCPL
{05F02597-FE85-4E67-8542-69567AB8FD4F}	Microsoft-Windows-LiveId
{0602ECEF-6381-4BC0-AEDA-EB9BB919B276}	Microsoft-Windows-Bluetooth-Policy
{06184C97-5201-480E-92AF-3A3626C5B140}	Microsoft-Windows-Services-Svchost
{0657ADC1-9AE8-4E18-932D-E6079CDA5AB3}	Microsoft-Windows-TimeBroker
{06740DBB-394D-381D-35C7-8A537DA89C5B}	Microsoft-Windows-NtfsLog_06740dbb394d381d35c78a537da89c5b
{06EDCFEB-0FD0-4E53-ACCA-A6F8BBF81BCB}	Microsoft-Windows-Time-Service
{07DE7879-1C96-41CE-AFBD-C659A0E8E643}	Microsoft-Windows-VolumeControl
{08466062-AED4-4834-8B04-CDDB414504E5}	Microsoft-Windows-Security-Audit-Configuration-Client
{0888E5EF-9B98-4695-979D-E92CE4247224}	Microsoft-Windows-RestartManager
{08D945EB-C8BD-44AA-994F-86079D8DCE35}	Microsoft-Windows-Shell-AppWizCpl
{093DA50C-0BB9-4D7D-B95C-3BB9FCDA5EE8}	Microsoft-Windows-Winsock-SQM
{09608C12-C1DA-4104-A6FE-B959CF57560A}	Microsoft-Windows-WUSA
{099614A5-5DD7-4788-8BC9-E29F43DB28FC}	Microsoft-Windows-LDAP-Client
{09AC07B9-6AC9-43BC-A50F-58419A797C69}	Microsoft-Windows-SmartCard-Audit
{09EC9687-D7AD-40CA-9C5E-78A04A5AE993}	Microsoft-Windows-DeviceSync
{09FB6214-FBF7-3E55-4BAF-C1C46FBD6480}	Microsoft-Windows-FltMgrTrace_09fb6214fbf73e554bafc1c46fbd6480
{0A002690-3839-4E3A-B3B6-96D8DF868D99}	Microsoft-Antimalware-Engine
{0A76D59C-72F8-3280-747F-B5ED15BE0D04}	Microsoft-Windows-FltMgrTrace_0a76d59c72f83280747fb5ed15be0d04
{0A88862D-20A3-4C1F-B76F-162C55ADBF93}	Microsoft-Windows-ClearTypeTextTuner
{0B553685-A3FB-3B70-867B-3E74758C4A66}	Microsoft-Windows-FltMgrTrace_0b553685a3fb3b70867b3e74758c4a66
{0B886108-1899-4D3A-9C0D-42D8FC4B9108}	Microsoft-Windows-CoreSystem-InitMachineConfig
{0B9FDCCC-451C-449C-9BD8-6756FCC6091A}	Microsoft-Windows-Hyper-V-Guest-Drivers-Storage-Filter
{0BD19909-EB6F-4B16-8074-6DCE803F091D}	Microsoft-Windows-UserDataAccess-Poom
{0BD3506A-9030-4F76-9B88-3E8FE1F7CFB6}	Microsoft-Windows-NWiFi
{0BF2FB94-7B60-4B4D-9766-E82F658DF540}	Microsoft-Windows-Kernel-ShimEngine
{0C478C5B-0351-41B1-8C58-4A6737DA32E3}	Microsoft-Windows-WFP
{0CC157B3-CF07-4FC2-91EE-31AC92E05FE1}	Microsoft-Windows-AppSruProv
{0D4FDC09-8C27-494A-BDA0-505E4FD8ADAE}	Microsoft-Windows-Directory-Services-SAM
{0D759F0F-CFF9-4902-8867-EB9E29D7A98B}	Microsoft-Windows-WMP-Setup_WM
{0DD4D48E-2BBF-452F-A7EC-BA3DBA8407AE}	Microsoft-Windows-ActionQueue
{0EAD09BD-2157-539A-8D6D-C87F95B64D70}	Windows Error Reporting
{0F177893-4A9C-4709-B921-F432D67F43D5}	Microsoft-Windows-Complus
{0F352580-E9E2-46C2-8336-6AC66E986416}	Microsoft-Windows-OOBE-Machine-Plugins-Wireless
{0F67E49F-FE51-4E9F-B490-6F2948CC6027}	Microsoft-Windows-Kernel-Processor-Power
{0FA2EE03-1FEB-5057-3BB3-EB25521B8482}	Microsoft-Windows-PersistentMemory-PmemDisk
{0FF1C24B-7F05-45C0-ABDC-3C8521BE4F62}	Microsoft-Windows-Mobile-Broadband-Experience-SmsApi
{1029012F-9E40-5284-2037-2E9D52B292F9}	Microsoft-Windows-QuickAssist
{102AAB0A-9D9C-4887-A860-55DE33B96595}	Microsoft-Antimalware-NIS
